📋 BROADCAST REPORT
==================================================

✅ SUCCESSFULLY SENT: 4
--------------------------------------------------
SUCCESS | USER | 6646786564 | ⏤͟͟͞͞𝗖𝘆𝗯𝗲𝗿 𝗜𝗻𝘃𝗲𝘀𝘁𝗶𝗴𝗮𝘁𝗼𝗿
FAILED | USER | 5168115035 | Error: Could not find the input entity for PeerUser(user_id=5168115035) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5176664104 | Error: Could not find the input entity for PeerUser(user_id=5176664104) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5200756168 | Error: Could not find the input entity for PeerUser(user_id=5200756168) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5211162411 | Error: Could not find the input entity for PeerUser(user_id=5211162411) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5286726994 | Error: Could not find the input entity for PeerUser(user_id=5286726994) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5393455289 | Error: Could not find the input entity for PeerUser(user_id=5393455289) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5430032701 | Error: Could not find the input entity for PeerUser(user_id=5430032701) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5458011292 | Error: Could not find the input entity for PeerUser(user_id=5458011292) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5478136161 | Error: Could not find the input entity for PeerUser(user_id=5478136161) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5498662219 | Error: Could not find the input entity for PeerUser(user_id=5498662219) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
FAILED | USER | 5515754738 | Error: Could not find the input entity for PeerUser(user_id=5515754738) (PeerUser). Please read https://docs.telethon.dev/en/stable/concepts/entities.html to find out more details.
